municipio,confirmado_29_06,suspeito_29_06,morte_29_06,confirmado_26_06,suspeito_26_06,morte_26_06,confirmado_25_06,suspeito_25_06,morte_25_06,confirmado_24_06,suspeito_24_06,morte_24_06,confirmado_23_06,suspeito_23_06,morte_23_06,confirmado_22_06,suspeito_22_06,morte_22_06,confirmado_20_06,suspeito_20_06,morte_20_06,confirmado_19_06,suspeito_19_06,morte_19_06,confirmado_18_06,suspeito_18_06,morte_18_06,confirmado_17_06,suspeito_17_06,morte_17_06,confirmado_16_06,suspeito_16_06,morte_16_06,confirmado_15_06,suspeito_15_06,morte_15_06,confirmado_13_06,suspeito_13_06,morte_13_06,confirmado_12_06,suspeito_12_06,morte_12_06,confirmado_11_06,suspeito_11_06,morte_11_06,confirmado_10_06,suspeito_10_06,morte_10_06,confirmado_09_06,suspeito_09_06,morte_09_06,confirmado_08_06,suspeito_08_06,morte_08_06,confirmado_06_06,suspeito_06_06,morte_06_06,confirmado_05_06,suspeito_05_06,morte_05_06,confirmado_04_06,suspeito_04_06,morte_04_06,confirmado_03_06,suspeito_03_06,morte_03_06,confirmado_02_06,suspeito_02_06,morte_02_06,confirmado_01_06,suspeito_01_06,morte_01_06,confirmado_30_05,suspeito_30_05,morte_30_05,confirmado_29_05,suspeito_29_05,morte_29_05,confirmado_27_05,suspeito_27_05,morte_27_05,confirmado_26_05,suspeito_26_05,morte_26_05,confirmado_25_05,suspeito_25_05,morte_25_05,confirmado_23_05,suspeito_23_05,morte_23_05,confirmado_22_05,suspeito_22_05,morte_22_05,confirmado_21_05,suspeito_21_05,morte_21_05,confirmado_20_05,suspeito_20_05,morte_20_05,confirmado_19_05,suspeito_19_05,morte_19_05,confirmado_18_05,suspeito_18_05,morte_18_05,confirmado_17_05,suspeito_17_05,morte_17_05,confirmado_16_05,suspeito_16_05,morte_16_05,confirmado_15_05,suspeito_15_05,morte_15_05,suspeito_14_05,confirmado_14_05,morte_14_05,confirmado_13_05,suspeito_13_05,morte_13_05,confirmado_12_05,suspeito_12_05,morte_12_05,confirmado_11_05,suspeito_11_05,morte_11_05,confirmado_10_05,suspeito_10_05,morte_10_05,confirmado_09_05,suspeito_09_05,morte_09_05,confirmado_08_05,suspeito_08_05,morte_08_05,confirmado_07_05,suspeito_07_05,morte_07_05,confirmado_06_05,suspeito_06_05,morte_06_05,confirmado_05_05,suspeito_05_05,morte_05_05,confirmado_04_05,suspeito_04_05,morte_04_05,confirmado_03_05,suspeito_03_05,morte_03_05,confirmado_02_05,suspeito_02_05,morte_02_05,confirmado_01_05,suspeito_01_05,morte_01_05,confirmado_30_04,suspeito_30_04,morte_30_04,confirmado_29_04,suspeito_29_04,morte_29_04,confirmado_28_04,suspeito_28_04,morte_28_04,confirmado_27_04,suspeito_27_04,morte_27_04,confirmado_26_04,suspeito_26_04,morte_26_04,confirmado_25_04,suspeito_25_04,morte_25_04,confirmado_24_04,suspeito_24_04,morte_24_04,confirmado_23_04,suspeito_23_04,morte_23_04,confirmado_22_04,suspeito_22_04,morte_22_04,confirmado_21_04,suspeito_21_04,morte_21_04,confirmado_20_04,suspeito_20_04,morte_20_04,confirmado_18_04,suspeito_18_04,morte_18_04,confirmado_17_04,suspeito_17_04,morte_17_04,confirmado_16_04,suspeito_16_04,morte_16_04,confirmado_15_04,suspeito_15_04,morte_15_04,confirmado_14_04,suspeito_14_04,morte_14_04,confirmado_13_04,suspeito_13_04,morte_13_04,confirmado_12_04,suspeito_12_04,morte_12_04,confirmado_11_04,suspeito_11_04,morte_11_04,confirmado_10_04,suspeito_10_04,morte_10_04,confirmado_09_04,suspeito_09_04,morte_09_04,confirmado_08_04,suspeito_08_04,morte_08_04,confirmado_07_04,suspeito_07_04,morte_07_04,morte_06_04,confirmado_05_04,suspeito_05_04,morte_05_04,morte_04_04,confirmado_03_04,suspeito_03_04,morte_03_04,confirmado_02_04,suspeito_02_04,morte_02_04,confirmado_01_04,suspeito_01_04,morte_01_04,morte_31_03,confirmado_30_03,suspeito_30_03,morte_30_03,morte_29_03,confirmado_28_03,suspeito_28_03,morte_28_03,confirmado_27_03,suspeito_27_03,morte_27_03,morte_26_03,confirmado_25_03,suspeito_25_03,morte_25_03,confirmado_24_03,suspeito_24_03,morte_24_03,morte_23_03,confirmado_22_03,suspeito_22_03,morte_22_03,morte_21_03,confirmado_20_03,suspeito_20_03,morte_20_03,morte_19_03,confirmado_18_03,suspeito_18_03,morte_18_03,morte_17_03,confirmado_16_03,suspeito_16_03,morte_16_03,morte_15_03,morte_14_03,confirmado_13_03,suspeito_13_03,morte_13_03,morte_12_03,suspeito_11_03,suspeito_10_03,suspeito_06_03,suspeito_05_03,suspeito_03_03,suspeito_02_03,suspeito_28_02
São Francisco do Oeste,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,2,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,6,,,3,,,4,,,4,,,4,,,4,,,3,,,2,,,2,,,2,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Gonçalo do Amarante,1468,1118,40,1105,840,41,1468,1118,40,1045,793,36,992,717,33,984,887,33,963,919,32,789,792,32,782,792,30,776,792,26,760,803,24,693,716,22,677,727,22,672,730,21,666,732,21,541,734,20,516,756,19,511,767,19,406,655,19,406,680,19,397,691,19,391,700,19,315,600,20,302,611,19,276,524,19,209,592,16,182,552,13,177,516,12,142,497,12,131,533,7,119,490,7,112,485,7,102,448,7,98,401,6,93,380,6,92,385,6,90,388,6,85,336,4,303,81,3,80,274,3,69,245,3,71,246,3,68,228,3,68,226,3,64,210,3,62,195,3,62,187,2,61,175,2,55,165,2,53,166,2,53,163,2,52,161,2,47,159,2,44,158,2,42,135,2,42,129,2,42,126,2,41,138,2,39,104,2,39,88,2,34,91,2,33,76,2,32,78,2,30,46,2,28,46,2,26,46,2,26,46,2,24,52,2,22,71,1,20,84,1,19,86,1,11,107,1,11,107,1,11,100,1,11,85,1,,10,79,,,9,59,,1,62,,1,39,,,2,18,,,1,18,,,21,,,,23,,,6,,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,,
São João do Sabugi,11,12,1,8,17,,11,12,1,8,17,,7,13,,7,16,,6,16,,5,14,,5,14,,5,14,,5,14,,5,14,,5,14,,5,14,,5,14,,5,14,,2,17,,2,17,,2,15,,2,15,,2,15,,2,15,,2,9,,2,9,,1,6,,1,6,,1,14,,1,12,,1,12,,1,14,,,12,,,24,,,24,,,7,,,6,,,6,,,6,,,6,,7,,,,6,,,7,,,7,,,6,,,6,,,6,,,6,,,6,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,4,,,4,,,4,,,4,,,4,,,4,,,,4,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São José de Mipibu,471,652,7,357,648,5,471,652,7,334,579,4,320,404,4,317,426,4,270,458,4,244,269,4,241,270,4,230,272,4,214,275,4,196,200,3,183,206,3,181,207,3,177,206,3,152,207,3,140,218,3,140,221,3,114,152,3,114,164,3,114,165,3,105,171,3,90,123,3,82,132,4,79,103,4,65,114,4,60,122,4,57,108,4,45,101,4,40,114,3,37,104,3,37,92,3,36,85,3,35,67,2,33,56,2,33,56,2,33,56,2,33,50,1,49,30,1,29,46,1,27,46,1,26,44,1,26,45,1,26,43,1,24,36,1,24,26,1,21,28,1,19,29,1,19,24,1,19,22,1,18,23,1,14,25,1,12,24,1,9,25,1,8,28,1,8,18,1,8,18,1,5,20,,5,15,,5,15,,5,15,,4,10,,4,10,,4,9,,2,9,,2,9,,2,9,,2,10,,,,,2,16,,2,17,,1,20,,1,20,,1,19,,1,20,,,1,21,,,1,21,,1,20,,1,18,,,1,6,,,1,6,,,6,,,,6,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
São José do Campestre,83,66,3,45,88,3,83,66,3,40,82,2,31,65,2,31,67,2,28,71,2,15,49,2,15,49,2,15,49,2,15,49,2,13,40,2,13,40,2,12,40,1,12,40,1,6,40,1,6,40,1,5,41,1,2,29,1,2,29,1,2,29,1,2,29,1,1,21,1,1,21,1,1,16,1,,16,,,12,,,11,,,8,,,9,,,9,,,6,,,6,,,5,,,5,,,5,,,4,,,4,,4,,,,4,,,4,,,4,,,5,,,5,,,5,,,5,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,4,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,4,,,,4,,,,4,,,4,,,4,,,,4,,,,4,,,4,,,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São José do Seridó,13,19,,8,15,,13,19,,6,14,,5,13,,5,13,,5,13,,5,11,,5,11,,5,11,,5,11,,5,10,,5,10,,5,10,,4,10,,4,10,,3,11,,3,11,,2,9,,2,9,,2,9,,2,9,,1,9,,1,9,,,6,,,6,,,5,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel,53,72,,31,75,,53,72,,28,60,,27,53,,27,74,,27,74,,25,64,,25,64,,25,64,,25,64,,25,64,,24,65,,24,65,,24,65,,23,65,,23,66,,23,67,,21,55,,21,60,,21,60,,21,60,,21,55,,20,55,,18,51,,18,51,,18,52,,18,52,,18,52,,18,54,,17,49,,17,46,,17,46,,17,42,,16,42,,16,42,,16,40,,16,40,,39,16,,16,36,,16,32,,15,32,,15,31,,15,31,,15,31,,14,28,,14,30,,11,26,,11,25,,11,23,,11,24,,10,25,,3,26,,3,23,,2,23,,2,20,,2,19,,2,19,,1,12,,1,11,,1,11,,1,11,,1,11,,1,7,,,7,,,7,,,7,,,8,,,8,,,8,,,8,,,8,,,4,,,4,,,3,,,,3,,,,3,,,3,,,3,,,,3,,,,3,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Miguel do Gostoso,54,66,2,33,75,3,54,66,2,27,69,2,21,40,,21,41,,18,44,,15,25,,15,25,,15,25,,14,25,,11,20,,10,20,,9,21,,9,21,,8,21,,6,22,,6,22,,4,15,,4,15,,4,15,,4,15,,3,12,,3,12,,2,2,,1,3,,1,3,,1,4,,1,4,,1,5,,2,7,,2,5,,1,6,,1,5,,1,4,,1,4,,1,4,,1,2,,2,1,,,4,,,4,,,4,,1,1,,1,1,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,1,,,1,,,2,,,2,,,2,,,2,,,2,,,3,,,,3,,,,1,,,1,,,1,,,,1,,,,1,,,2,,,,2,,,1,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,
São Paulo do Potengi,182,374,7,78,212,6,182,374,7,74,206,5,71,172,5,71,184,5,69,184,4,55,129,4,54,129,3,53,129,3,52,129,3,53,113,3,52,114,2,52,114,2,50,113,2,48,113,2,44,118,1,44,118,1,31,65,1,30,66,,28,68,,28,68,,19,60,,19,60,,15,44,,13,45,,7,40,,6,39,,4,36,,4,34,,4,32,,3,29,,3,29,,3,30,,3,33,,3,33,,3,32,,2,22,,21,2,,2,19,,2,18,,2,17,,2,15,,2,15,,2,15,,2,15,,2,15,,1,14,,1,14,,1,15,,1,15,,1,15,,1,13,,1,13,,,10,,,6,,,6,,,6,,,7,,,6,,,5,,,5,,,5,,,4,,,4,,,4,,,4,,,4,,,4,,,6,,,5,,,5,,,5,,,3,,,2,,,,2,,,,3,,,3,,,2,,,,2,,,,2,,,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Pedro,39,38,4,39,27,3,39,38,4,39,24,3,32,24,3,32,25,3,32,25,3,30,22,3,29,22,2,29,22,2,28,22,2,27,19,2,27,19,2,27,19,2,23,18,,23,18,,23,18,,23,18,,20,15,,20,15,,20,15,,20,15,,14,14,,14,14,,14,13,,14,13,,14,12,,11,11,,6,10,,6,12,,5,8,,5,8,,2,7,,1,6,,1,5,,1,5,,1,5,,1,4,,4,1,,1,4,,1,4,,1,4,,1,4,,1,3,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,2,,1,2,,1,2,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Rafael,52,107,3,41,97,2,52,107,3,36,90,2,35,63,2,35,71,2,33,71,2,24,42,2,24,42,2,24,42,2,24,42,2,24,30,2,24,30,2,24,30,2,24,30,2,23,30,2,21,31,1,21,31,1,21,23,1,21,24,1,21,24,1,21,24,1,21,24,1,21,24,1,16,23,1,15,24,1,12,24,1,11,23,1,10,23,1,9,23,1,9,22,1,9,24,1,9,25,1,8,21,1,7,16,1,7,16,1,7,16,1,8,15,1,14,8,1,8,12,1,8,11,1,8,11,1,9,8,1,9,8,1,8,8,1,8,7,1,9,8,1,10,9,1,8,9,1,8,9,1,6,9,1,6,8,1,5,8,1,5,8,1,3,7,1,3,5,1,3,5,1,3,5,1,3,2,1,3,2,1,1,4,1,1,2,1,1,2,1,,2,1,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Tomé,67,42,1,54,64,2,67,42,1,46,54,2,43,46,2,43,48,1,42,51,1,35,34,1,35,34,1,35,34,1,35,34,1,34,31,1,34,31,1,34,31,1,32,33,1,28,33,1,28,33,1,28,34,1,20,26,1,20,26,1,20,26,1,20,26,1,20,18,1,20,18,1,18,15,1,18,15,1,15,16,1,15,15,1,10,18,1,10,22,1,10,20,1,9,19,1,9,17,1,7,9,1,6,9,1,6,9,1,6,9,1,6,9,1,10,4,1,4,8,1,3,6,1,3,4,1,3,4,1,3,4,1,3,4,1,3,1,1,1,5,,1,6,,1,2,,1,2,,,3,,,3,,,1,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
São Vicente,15,17,,8,24,,15,17,,7,23,,7,15,,7,26,,5,26,,2,23,,2,23,,2,23,,2,23,,2,21,,2,21,,2,21,,2,21,,2,21,,2,21,,2,21,,1,20,,1,20,,1,20,,1,20,,1,18,,1,18,,1,16,,1,16,,1,17,,1,17,,1,17,,1,18,,1,18,,1,17,,1,16,,1,16,,1,16,,1,16,,1,16,,1,16,,16,1,,1,16,,1,15,,1,14,,1,14,,1,14,,,15,,,15,,,15,,,13,,,13,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,12,,,8,,,8,,,8,,,8,,,7,,,8,,,7,,,7,,,7,,,5,,,4,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Elói de Souza,26,14,,17,22,,26,14,,17,20,,17,20,,17,20,,16,20,,12,12,,12,12,,12,12,,12,12,,12,11,,12,11,,12,11,,12,11,,7,11,,6,12,,6,12,,3,8,,3,8,,3,8,,3,8,,3,7,,3,7,,2,6,,2,6,,1,3,,1,3,,1,3,,1,2,,1,2,,1,2,,1,2,,1,3,,1,3,,1,3,,1,3,,1,2,,2,1,,1,2,,2,2,,2,2,,1,1,,1,1,,1,2,,1,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senador Georgino Avelino,16,19,2,13,18,2,16,19,2,13,12,2,12,10,2,12,11,2,12,11,2,10,7,2,10,7,2,10,7,2,10,8,2,10,8,2,8,9,2,7,10,2,6,11,2,6,11,2,6,11,2,6,11,2,6,8,2,6,8,2,6,8,2,6,8,2,5,3,2,4,3,1,4,3,1,2,4,1,2,4,1,2,3,1,2,4,1,3,7,1,3,4,1,3,4,1,3,3,1,3,2,1,2,2,1,2,2,1,2,2,1,2,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Caiada,48,19,3,35,22,3,48,19,3,33,17,3,31,16,3,30,18,3,28,20,3,28,16,3,28,16,3,27,16,3,25,17,3,25,17,3,22,19,3,20,20,3,20,20,2,18,20,2,18,20,2,18,20,2,14,13,2,14,13,2,14,13,2,13,14,2,13,6,2,12,7,2,12,2,2,6,7,2,7,7,2,7,7,2,4,10,,2,13,,2,12,,2,11,,2,11,,2,8,,2,7,,2,7,,2,7,,1,4,,3,1,,1,3,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra de São Bento,16,15,,6,15,,16,15,,6,9,,6,6,,6,6,,6,7,,6,6,,6,6,,6,6,,6,6,,5,6,,5,6,,5,6,,5,6,,4,6,,4,6,,4,6,,2,5,,2,5,,2,5,,2,5,,2,4,,2,4,,1,5,,1,5,,1,4,,1,3,,1,3,,1,2,,1,2,,1,2,,1,3,,1,3,,1,3,,1,4,,1,4,,1,3,,1,1,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra do Mel,99,57,2,58,73,2,99,57,2,54,69,2,53,59,2,53,62,2,53,62,2,47,49,2,47,49,2,46,49,1,45,49,1,44,41,1,44,41,1,44,41,1,44,41,1,30,41,1,30,41,1,30,41,1,20,32,1,20,32,1,20,32,1,20,33,1,17,27,1,17,27,1,16,22,,16,22,,7,22,,6,19,,6,15,,5,13,,4,14,,2,13,,1,12,,1,8,,1,8,,1,9,,1,9,,1,9,,9,1,,1,9,,1,6,,1,6,,1,7,,1,8,,1,7,,1,5,,1,4,,1,4,,1,3,,1,2,,1,1,,1,1,,1,1,,1,3,,,4,,,3,,,3,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serra Negra do Norte,54,28,1,42,38,2,54,28,1,38,23,2,31,18,2,28,26,2,29,26,2,23,16,2,18,21,2,18,21,2,18,21,2,17,15,2,15,17,2,14,18,2,13,19,2,12,19,2,10,21,2,10,21,2,10,15,2,10,20,2,10,20,2,10,20,2,6,18,2,6,18,2,6,14,2,4,16,2,4,16,2,4,14,2,4,11,2,4,14,2,3,13,2,3,13,2,3,13,2,3,13,2,2,15,2,2,15,2,2,14,2,2,13,2,13,2,2,2,12,2,2,11,2,3,7,2,2,6,2,2,6,2,2,5,2,2,5,1,2,4,1,2,4,,2,4,,1,5,,1,4,,1,4,,1,4,,1,2,,1,2,,1,2,,1,2,,1,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha,13,23,,10,29,,13,23,,9,26,,8,26,,6,31,,5,32,,5,22,,5,22,,5,22,,5,23,,4,21,,4,21,,3,22,,3,22,,3,22,,2,23,,2,23,,2,17,,2,17,,2,17,,2,17,,2,13,,2,13,,2,5,,1,6,,1,7,,1,7,,1,7,,1,7,,,8,,,9,,,9,,,8,,,7,,,7,,,7,,,7,,6,,,,6,,,6,,,6,,,7,,,7,,,3,,,3,,,3,,,3,,,3,,,3,,,1,,,1,,,1,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,1,,,1,,,1,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serrinha dos Pintos,7,3,,3,6,,7,3,,2,6,,1,2,,1,3,,1,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,1,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severiano Melo,24,11,,12,33,,24,11,,12,31,,10,27,,10,28,,10,28,,7,19,,7,19,,7,19,,7,19,,7,15,,7,15,,7,15,,7,16,,7,16,,7,16,,7,16,,5,16,,5,17,,5,17,,5,17,,4,11,,3,12,,3,7,,2,8,,1,7,,1,7,,1,7,,1,7,,1,5,,1,3,,1,3,,1,5,,1,5,,1,5,,1,5,,1,6,,6,,,,5,,,5,,,3,,,4,,,4,,,3,,,2,,,3,,,1,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,3,,,3,,,3,,,3,,,3,,,3,,,2,,,,2,,,,2,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sítio Novo,8,25,,,33,,8,25,,,27,,,18,,,21,,,21,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,13,,,11,,,11,,,11,,,11,,,9,,,9,,,4,,,4,,,4,,,3,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,1,,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taboleiro Grande,9,5,1,6,10,1,9,5,1,6,10,1,6,9,1,6,10,1,6,10,1,6,7,1,6,7,1,6,7,1,6,7,1,6,6,1,6,6,1,6,6,1,6,6,1,6,6,1,6,6,1,6,6,1,5,5,1,5,5,1,5,5,1,5,5,1,5,4,1,5,4,1,5,4,1,5,4,1,5,6,1,5,6,1,5,6,1,5,7,1,5,7,1,5,7,1,5,7,1,5,7,1,5,5,1,5,5,1,5,4,1,4,5,1,6,4,1,4,5,1,4,4,1,4,5,1,2,6,1,2,6,1,1,1,1,1,1,1,1,2,1,1,2,,1,2,,1,1,,1,1,,,2,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taipu,53,28,1,28,21,1,53,28,1,23,16,1,17,13,1,16,15,1,15,16,1,13,12,1,13,12,1,13,12,1,12,12,1,12,10,1,11,11,1,10,12,1,10,12,1,8,12,1,7,13,1,7,14,1,7,11,1,7,12,1,7,12,1,7,12,1,7,7,1,7,7,1,7,3,1,4,6,1,3,5,1,3,5,1,2,2,1,2,2,1,2,2,1,2,2,1,2,2,1,1,3,1,1,3,1,1,3,1,1,3,1,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,,1,1,1,,1,,,2,,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará,28,38,2,26,36,3,28,38,2,25,35,3,25,30,3,25,40,3,23,43,3,22,35,2,22,35,2,22,35,2,21,35,2,20,35,2,17,36,2,16,37,2,16,37,2,14,37,2,12,39,2,12,39,2,8,28,2,8,30,2,8,30,2,8,30,2,5,26,2,4,26,1,1,27,,,28,,,27,,,25,,,21,,,21,,,21,,,21,,,21,,,21,,,18,,,18,,,18,,,19,,18,,,,18,,,14,,,14,,,14,,,14,,,14,,,13,,,10,,,8,,,2,,,2,,,2,,,2,,,2,,,3,,,1,,,1,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
